date ,volume
"out 19, 2001",5828
"out 26, 2001",5879
"nov 02, 2001",5859
"nov 09, 2001",5863
"nov 16, 2001",5872
"nov 23, 2001",5882
"nov 30, 2001",5873
"dez 07, 2001",5856
"dez 14, 2001",5884
"dez 21, 2001",5911
"dez 28, 2001",5902
"jan 04, 2002",5922
"jan 11, 2002",5922
"jan 18, 2002",5911
"jan 25, 2002",5909
"fev 01, 2002",5916
"fev 08, 2002",5952
"fev 15, 2002",5927
"fev 22, 2002",5956
"mar 01, 2002",5966
"mar 08, 2002",5947
"mar 15, 2002",5975
"mar 22, 2002",5948
"mar 29, 2002",5956
"abr 05, 2002",5916
"abr 12, 2002",5922
"abr 19, 2002",5896
"abr 26, 2002",5865
"mai 03, 2002",5879
"mai 10, 2002",5889
"mai 17, 2002",5894
"mai 24, 2002",5890
"mai 31, 2002",5896
"jun 07, 2002",5897
"jun 14, 2002",5910
"jun 21, 2002",5939
"jun 28, 2002",5917
"jul 05, 2002",5898
"jul 12, 2002",5885
"jul 19, 2002",5839
"jul 26, 2002",5844
"ago 02, 2002",5604
"ago 09, 2002",5858
"ago 16, 2002",5907
"ago 23, 2002",5918
"ago 30, 2002",5883
"set 06, 2002",5773
"set 13, 2002",5716
"set 20, 2002",5736
"set 27, 2002",5190
"out 04, 2002",4803
"out 11, 2002",5490
"out 18, 2002",5721
"out 25, 2002",5714
"nov 01, 2002",5711
"nov 08, 2002",5349
"nov 15, 2002",5738
"nov 22, 2002",5754
"nov 29, 2002",5740
"dez 06, 2002",5763
"dez 13, 2002",5752
"dez 20, 2002",5758
"dez 27, 2002",5749
"jan 03, 2003",5752
"jan 10, 2003",5728
"jan 17, 2003",5702
"jan 24, 2003",5739
"jan 31, 2003",5764
"fev 07, 2003",5899
"fev 14, 2003",5906
"fev 21, 2003",5898
"fev 28, 2003",5901
"mar 07, 2003",5872
"mar 14, 2003",5886
"mar 21, 2003",5906
"mar 28, 2003",5906
"abr 04, 2003",5866
"abr 11, 2003",5801
"abr 18, 2003",5772
"abr 25, 2003",5766
"mai 02, 2003",5829
"mai 09, 2003",5855
"mai 16, 2003",5807
"mai 23, 2003",5813
"mai 30, 2003",5837
"jun 06, 2003",5803
"jun 13, 2003",5860
"jun 20, 2003",5900
"jun 27, 2003",5867
"jul 04, 2003",5815
"jul 11, 2003",5770
"jul 18, 2003",5777
"jul 25, 2003",5699
"ago 01, 2003",5738
"ago 08, 2003",5747
"ago 15, 2003",5750
"ago 22, 2003",5736
"ago 29, 2003",5723
"set 05, 2003",5727
"set 12, 2003",5703
"set 19, 2003",5739
"set 26, 2003",5734
"out 03, 2003",5678
"out 10, 2003",5559
"out 17, 2003",5605
"out 24, 2003",5614
"out 31, 2003",5550
"nov 07, 2003",5596
"nov 14, 2003",5692
"nov 21, 2003",5683
